#num_of_iter: 500
#num_of_exper: 1
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.30
#p_1_neighb: 0.10
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
# 


#Experiment 1 

#seed: 944504714
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 0           0.4817        0.0133        0.2073        0.1995        0.1861        0.1884        0.2042        0.2218           0.0        0.1327        0.1327        0.0837        0.1122        0.1245           0.1        0.1082         0.102        0.1041        0.1186        0.1092        0.1055        0.1149        0.1149        0.0979        0.0885        0.1243        0.1262        0.1109        0.1005        0.1057        0.1144        0.1508        0.0971        0.1144        0.0936        0.1127  
 1           0.5163        0.0089        0.1581         0.203        0.2034        0.1503        0.2022        0.2411        0.7978        0.0895        0.1304        0.0793        0.1176        0.1023        0.1125        0.1509        0.1023        0.1151        0.0951        0.0817        0.1236        0.0798        0.1749        0.1407        0.0951         0.116        0.0932        0.1164        0.1244        0.0957        0.0941        0.1818        0.1276        0.1069        0.0781         0.075  
 2           0.5179        0.0118        0.0005        0.1657        0.2534         0.158        0.1849         0.238        0.8078        0.1314        0.1046        0.1095        0.1509        0.1046        0.0949        0.1411        0.0852        0.0779        0.1372        0.1164         0.106        0.0832        0.1622         0.104        0.1206        0.0998        0.0707        0.0775        0.1147        0.0856        0.1002        0.1519         0.168        0.1163        0.1099        0.0759  
 3           0.4433        0.0237        0.0505        0.1107        0.3122        0.1415         0.178        0.2576        0.8224        0.1495        0.1359        0.1495        0.1712        0.0707        0.0761        0.0978        0.1114         0.038        0.1922        0.1102        0.1577        0.1102        0.1145        0.0842        0.0929        0.0929        0.0454        0.0418        0.0642        0.0776        0.0552        0.1537        0.2179        0.1164        0.1582        0.1149  
 4           0.3706        0.0399        0.0362        0.0684        0.3718        0.1084        0.1795        0.2718         0.817        0.1667        0.1631        0.2837        0.1773        0.0319        0.0319        0.0532        0.0745        0.0177         0.212        0.1478        0.1991        0.0771        0.1306        0.0664        0.0749        0.0878        0.0043        0.0311         0.041        0.0636        0.0934        0.1386        0.2291        0.1075        0.1754        0.1202  
 5           0.3133        0.0399        0.0004        0.0496        0.4287        0.1046        0.1553        0.2618         0.812        0.2059        0.1618        0.3015        0.2206        0.0074        0.0147        0.0221        0.0551         0.011        0.2376        0.1782        0.2574         0.047        0.0916        0.0668        0.0446        0.0743        0.0025        0.0073         0.025        0.0485        0.0675        0.1292        0.2394        0.1468        0.1924        0.1439  
 6           0.2695        0.0621       -0.0427        0.0308        0.4737        0.0857        0.1584        0.2514        0.8043        0.2152        0.2018        0.3274        0.2152           0.0        0.0224        0.0045        0.0135           0.0        0.3325        0.1626        0.2573        0.0825        0.0485        0.0461        0.0291        0.0388        0.0024           0.0        0.0122        0.0474        0.0902        0.0979        0.2584        0.1391        0.2202        0.1346  
 7            0.258        0.0666       -0.0879        0.0185        0.5094        0.1011        0.1446        0.2265        0.7912        0.2015        0.1559         0.403        0.1825           0.0        0.0494           0.0        0.0076           0.0        0.4202        0.1516        0.2606        0.0718        0.0479        0.0133         0.016        0.0186           0.0           0.0        0.0238        0.0374        0.0509        0.0951        0.2326        0.1732         0.253        0.1341  
 8           0.2238         0.071       -0.0992        0.0119        0.5121        0.1119        0.1453        0.2188         0.782        0.2096        0.1581        0.3814        0.1615           0.0        0.0756           0.0        0.0137           0.0        0.4735        0.1481        0.2804         0.045        0.0132        0.0053        0.0132        0.0212           0.0           0.0        0.0158        0.0334        0.0439        0.1283        0.1722        0.1318        0.3005         0.174  
 9           0.2326        0.0769       -0.1572        0.0085         0.519        0.1134        0.1465        0.2126        0.7805        0.2068        0.2441         0.339        0.1119           0.0        0.0915           0.0        0.0068           0.0        0.5302         0.147         0.252        0.0052        0.0131        0.0026        0.0079         0.042           0.0           0.0        0.0127        0.0289        0.0271         0.132        0.1591        0.1429          0.34        0.1573  
