#num_of_iter: 50
#num_of_exper: 20
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.4
#p_1_neighb: 0.0
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.50
#allD: 0.50
#kD: 0.00
#kC: 0.00
#kDC: 0.00
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
#
#iter        av_f_C       std_f_C   av_f_C_corr  std_f_C_corr     av_av_sum    std_av_sum     av_f_allC    std_f_allC     av_f_allD    std_f_allD       av_f_kD      std_f_kD       av_f_kC      std_f_kC      av_f_kDC     std_f_kDC  av_f_strat_ch   std_f_strat_ch       av_f_0D      std_f_0D       av_f_1D      std_f_1D       av_f_2D      std_f_2D       av_f_3D      std_f_3D       av_f_4D      std_f_4D       av_f_5D      std_f_5D       av_f_6D      std_f_6D       av_f_7D      std_f_7D       av_f_8D      std_f_8D       av_f_0C      stC_f_0C       av_f_1C      stC_f_1C       av_f_2C      stC_f_2C       av_f_3C      stC_f_3C       av_f_4C      stC_f_4C       av_f_5C      stC_f_5C       av_f_6C      stC_f_6C       av_f_7C      stC_f_7C       av_f_8C      std_f_8C      av_f_0DC    stDC_f_0DC      av_f_1DC    stDC_f_1DC      av_f_2DC    stDC_f_2DC      av_f_3DC    stDC_f_3DC      av_f_4DC    stDC_f_4DC      av_f_5DC    stDC_f_5DC      av_f_6DC    stDC_f_6DC      av_f_7DC    stDC_f_7DC      av_f_8DC    stDC_f_8DC  
 0           0.5003        0.0082         0.011        0.0034         0.177        0.0138         0.499        0.0105         0.501        0.0105           0.0           0.0           0.0           0.0           0.0           0.0           0.0            0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 1           0.4995        0.0105         0.012        0.0051        0.1785        0.0176         0.497        0.0205         0.503        0.0205           0.0           0.0           0.0           0.0           0.0           0.0        0.8014         0.0073           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 2           0.4982        0.0204        0.0098        0.0045       -0.0635        0.0245        0.3785        0.0233        0.6215        0.0233           0.0           0.0           0.0           0.0           0.0           0.0        0.8018          0.008           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 3            0.403        0.0216        0.0328         0.009       -0.0321         0.025        0.2298        0.0245        0.7702        0.0245           0.0           0.0           0.0           0.0           0.0           0.0        0.8285         0.0054           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 4           0.2773        0.0202        0.0494        0.0112       -0.0541        0.0367        0.1251        0.0186        0.8749        0.0186           0.0           0.0           0.0           0.0           0.0           0.0        0.8216         0.0071           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 5           0.2121        0.0145         0.068        0.0117       -0.0877        0.0375        0.0693        0.0158        0.9307        0.0158           0.0           0.0           0.0           0.0           0.0           0.0        0.7954         0.0111           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 6           0.1826        0.0154        0.0629        0.0092       -0.1445        0.0508        0.0441        0.0125        0.9559        0.0125           0.0           0.0           0.0           0.0           0.0           0.0        0.7823         0.0142           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 7           0.1805        0.0129        0.0666        0.0108       -0.1409        0.0524        0.0332        0.0102        0.9668        0.0102           0.0           0.0           0.0           0.0           0.0           0.0         0.753         0.0181           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 8           0.1666         0.015        0.0643        0.0095       -0.2068        0.0531        0.0255        0.0091        0.9745        0.0091           0.0           0.0           0.0           0.0           0.0           0.0        0.7515         0.0162           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 9           0.1798        0.0156        0.0579        0.0092       -0.1711         0.049        0.0181        0.0079        0.9819        0.0079           0.0           0.0           0.0           0.0           0.0           0.0        0.7243         0.0185           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
