#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 7860987380687698761
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
0             0.5015        0.0029          0.1307           0.2091      0.1858        0.2091      0.1983      0.1978      1.0             0.1215      0.1036      0.1056      0.1096      0.1076      0.1116      0.1116      0.1155       0.1135      0.1261      0.1282      0.1239      0.0693       0.1261      0.1282      0.0903      0.1113      0.0966      0.0947      0.1221      0.1116      0.1221      0.1158       0.1053      0.1242      0.0884      0.1158
1             0.5194        0.0062          0.1327           0.2124      0.1837        0.2074      0.202      0.1945      1.0             0.1446      0.1024      0.1044      0.1004      0.1265      0.1205      0.1104      0.0904       0.1004      0.1196      0.1052      0.1423      0.0598       0.1258      0.1711      0.0825      0.1113      0.0825      0.0792      0.1285      0.0964      0.1306      0.1242       0.1049      0.1242      0.1006      0.1113
2             0.4919        0.0083          0.1381           0.2041      0.207        0.2057      0.1962      0.187      1.0             0.1721      0.1032      0.0992      0.0972      0.1417      0.1255      0.0992      0.0709       0.0911      0.121      0.1083      0.138      0.0701       0.1231      0.1783      0.0828      0.1062      0.0722      0.0624      0.118      0.1024      0.1314      0.1381       0.1114      0.1114      0.118      0.1069
3             0.4715        0.0133          0.1426           0.1878      0.2232        0.2195      0.1853      0.1841      1.0             0.1917      0.1044      0.1139      0.0949      0.1404      0.1195      0.093      0.0588       0.0835      0.1213      0.1101      0.1393      0.0697       0.0966      0.182      0.0831      0.1236      0.0742      0.0633      0.0995      0.0973      0.1312      0.1493       0.1154      0.0995      0.1267      0.1176
4             0.4456        0.0229          0.155           0.1741      0.2595        0.2266      0.1666      0.1733      1.0             0.1893      0.1029      0.125      0.0919      0.1544      0.114      0.0827      0.0588       0.0809      0.125      0.1075      0.1675      0.075       0.085      0.16      0.08      0.13      0.07      0.0625      0.0793      0.0865      0.1298      0.1587       0.1298      0.0913      0.1394      0.1226
5             0.4086        0.0271          0.1653           0.1562      0.2936        0.2299      0.1445      0.1758      1.0             0.25      0.087      0.1413      0.0851      0.1322      0.1051      0.0688      0.0543       0.0761      0.121      0.0951      0.1671      0.1009       0.072      0.1527      0.1037      0.1297      0.0576      0.0545      0.0735      0.0687      0.1256      0.128       0.1588      0.1066      0.1445      0.1398
6             0.3894        0.0404          0.1869           0.1358      0.3161        0.2349      0.1383      0.1749      1.0             0.2961      0.0887      0.1454      0.0691      0.1454      0.0904      0.0585      0.0461       0.0603      0.1265      0.0994      0.1596      0.1024       0.0693      0.1536      0.1054      0.1295      0.0542      0.0524      0.0738      0.0667      0.1119      0.1       0.1643      0.1262      0.1524      0.1524
7             0.3515        0.0521          0.2037           0.1125      0.3553        0.2382      0.1237      0.1703      1.0             0.3549      0.0629      0.1678      0.049      0.1591      0.0699      0.0507      0.035       0.0507      0.1481      0.1616      0.1145      0.0909       0.0606      0.1481      0.0808      0.138      0.0572      0.0513      0.0538      0.0562      0.132      0.0831       0.1663      0.1296      0.1565      0.1711
8             0.3261        0.0587          0.2106           0.0933      0.4007        0.2274      0.1041      0.1745      1.0             0.4048      0.0714      0.1502      0.0201      0.1484      0.0623      0.0531      0.0311       0.0586      0.124      0.224      0.136      0.084       0.064      0.14      0.06      0.108      0.06      0.0597      0.0525      0.0501      0.1193      0.0501       0.1504      0.1289      0.1814      0.2076
9             0.2982        0.0758          0.2383           0.0746      0.4307        0.2366      0.0895      0.1687      1.0             0.4419      0.0704      0.1408      0.0211      0.162      0.0511      0.0458      0.0264       0.0405      0.1907      0.1767      0.107      0.0884       0.0698      0.1721      0.0419      0.1023      0.0512      0.0469      0.0494      0.0444      0.116      0.0346       0.1481      0.1309      0.158      0.2716
